source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
HAPC,HybridAdaptivePredictive,Tokyo_Small,normal_ramp,0,6,3600,109,34,0.311927,1,1104,184,0.94912,4.31408,410.912,1115.62,1054.52,0,0,28,0.103416,1,0,0,75169.3,0.22549,0.415945,618.63,0,901948,8274.67,8.06899e+06,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,normal_ramp,1,6,3600,92,31,0.336957,1,932.935,155.489,0.932593,4.31842,274.194,927.935,881.501,0,0,24,0.102839,1,0,0,74694.8,0.123656,0.234842,618.63,0,652086,7087.79,6.87886e+06,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,stress_shock,0,5,3600,129,52,0.403101,1,1043.71,208.742,0.949056,4.20943,332.731,1001.08,806.443,0,0,24,0.208392,1,0,0,67884.9,0.192308,0.347221,513.2,0,840193,6513.05,6.40785e+06,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,stress_shock,1,5,3600,162,53,0.327161,1,1290.43,258.087,0.973722,4.20353,341.396,1001.92,918.9,0,0,24,0.213473,1,0,0,66142.9,0.286792,0.53233,513.2,0,1030833,6363.1,6.26152e+06,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,stress_buildup,0,4,3600,206,37,0.179612,1,1282.35,320.588,0.980903,4.4924,679.054,1370.41,969.086,0,0,36,0.127123,1,0,0,45984.8,0.277027,0.520577,883.755,0,1017195,4937.8,4.85472e+06,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,stress_buildup,1,4,3600,202,33,0.163366,1,1109.15,277.288,0.975069,4.49153,337.879,1448.3,623.508,0,0,24,0.12625,1,0,0,44236.8,0.128788,0.232762,883.755,0,855780,4236.48,4.14706e+06,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,over_fleet,0,60,3600,49,44,0.897959,1,573.614,9.56023,0.127963,4.65024,371.136,213.886,1259.98,0,0,28,0.134209,1,0,0,82634.7,0.242947,0.508197,1125.49,0,876397,17885.3,1.7644e+07,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,over_fleet,1,60,3600,57,47,0.824561,1,632.404,10.5401,0.154824,4.64595,419.043,236.404,1092.93,0,0,24,0.142762,1,0,0,85493.2,0.203157,0.405932,1125.49,0,954373,16743.2,1.65091e+07,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,normal_wave,0,6,3600,102,19,0.186275,1,1752.11,292.018,0.953426,4.62695,607.842,2424.84,1071.73,0,0,28,0.170125,1,0,0,60496.4,0.184211,0.337007,631.469,0,304567,2662.56,2.56244e+06,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,normal_wave,1,6,3600,103,32,0.31068,1,871.281,145.214,0.860093,4.63915,315.75,908.031,824.662,0,0,28,0.153829,1,0,0,48869.9,0.291667,0.526634,631.469,0,255509,2480.62,2.38166e+06,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,normal_ramp,0,6,3600,97,39,0.402062,1,624.615,104.103,0.865602,4.29586,306.641,530.256,858.115,0,0,24,0.105812,1,0,0,64394.9,0.235043,0.423659,347.136,0,250510,2582.53,2.49131e+06,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,normal_ramp,1,6,3600,110,44,0.4,1,1060.59,176.765,0.921343,4.28059,395.886,987.773,1000.3,0,0,24,0.115503,1,0,0,79002.7,0.151515,0.301511,347.136,0,322094,2928.08,2.83872e+06,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,stress_shock,0,5,3600,158,50,0.316456,1,1156.34,231.268,0.981444,4.12786,381.94,1427.5,960.302,0,0,24,0.259375,1,0,0,67602.1,0.152,0.282843,288,0,409299,2590.46,2.54703e+06,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,stress_shock,1,5,3600,144,40,0.277778,1,1192.12,238.425,0.9675,4.14165,406.475,1120.35,893.187,0,0,24,0.258867,1,0,0,54873.1,0.19,0.362284,288,0,289654,2011.44,1.96209e+06,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,stress_buildup,0,4,3600,230,42,0.182609,1,1247.9,311.976,0.98375,4.46922,503.643,1157.55,849.658,0,0,28,0.152156,1,0,0,40971.1,0.22619,0.417855,495.862,0,393106,1709.13,1.67068e+06,0,0
HAPC,HybridAdaptivePredictive,Kyoto_Small,stress_buildup,1,4,3600,236,42,0.177966,1,1277.19,319.298,0.990208,4.4603,357.095,1453.45,782.048,0,0,24,0.170368,1,0,0,48010.5,0.0833333,0.157935,495.862,0,472611,2002.56,1.9644e+06,0,0
