seed,source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
44,RMCA,RMCA,Kyoto_Small,stress_buildup,1,4,3600,244,154,0.6311,1.0,560.8506,560.8506,0.411,4.4039,279.1449,274.9733,1164.9684,0.8347,46.1512,28,0.4314,3.3322,38,0.6955,179405.125,0.362,0.6968,495.8625,4.3033,27281,111.8074,18634.5625,0,0
44,RMCA,RMCA,Kyoto_Small,stress_shock,0,5,3600,129,92,0.7132,1.0,564.913,564.913,0.3926,4.1375,251.8395,328.3882,988.3829,0.7849,54.1629,24,0.5032,1.6197,10,0.492,90931.2266,0.3748,0.6905,288.0,4.1146,16191,125.5116,20918.6055,0,1
44,RMCA,RMCA,Kyoto_Small,stress_shock,1,5,3600,150,96,0.64,1.0,583.9792,291.9896,0.5421,4.1148,230.506,355.0225,957.4652,0.8308,39.013,28,0.5108,2.1134,12,0.5216,91916.6562,0.4073,0.7398,288.0,4.1675,34484,229.8933,38315.5547,0,0
44,RMCA,RMCA,LosAngeles_Small,normal_ramp,0,6,3600,104,52,0.5,1.0,664.6731,0.0,0.1628,4.3302,306.2222,321.4286,1052.1204,0.6872,95.7982,28,0.3107,1.6522,11,0.5298,54710.2617,0.4377,0.8867,519.0942,4.3782,97102,933.6731,155612.1719,0,0
44,RMCA,RMCA,LosAngeles_Small,normal_ramp,1,6,3600,114,69,0.6053,1.0,615.4927,0.0,0.1649,4.3257,237.4643,340.678,1222.2487,1.0,0.0,24,0.3083,1.7926,9,0.5005,84335.1562,0.3967,0.7468,519.0942,4.3098,49923,437.9211,72986.8438,0,0
44,RMCA,RMCA,LosAngeles_Small,normal_wave,0,6,3600,101,33,0.3267,1.0,948.2121,316.0707,0.5479,4.6596,428.6897,579.2121,1435.7177,0.6698,141.5461,24,0.3682,4.1714,13,0.8778,47378.6836,0.3831,0.7279,944.3675,4.7188,95124,941.8218,156970.2969,0,0
44,RMCA,RMCA,LosAngeles_Small,normal_wave,1,6,3600,106,37,0.3491,1.0,660.6216,330.3108,0.4023,4.658,274.5,406.8378,1102.3434,0.8032,54.0313,28,0.3587,5.6388,12,0.9981,40786.707,0.3589,0.6778,944.3675,4.7067,72940,688.1132,114685.5312,0,0
44,RMCA,RMCA,LosAngeles_Small,over_fleet,0,60,3600,57,50,0.8772,1.0,523.68,104.736,0.0948,4.6588,322.4167,196.76,958.0732,0.5943,130.802,28,0.3599,2.2931,12,0.7068,47903.6562,0.2684,0.5607,944.3675,4.625,48641,853.3509,142225.1406,0,0
44,RMCA,RMCA,LosAngeles_Small,over_fleet,1,60,3600,57,39,0.6842,1.0,518.6923,74.0989,0.1315,4.6643,345.3684,175.4348,1199.3459,0.6945,105.4992,28,0.3579,3.6868,15,0.6934,46774.4922,0.3291,0.6328,944.3675,4.715,58760,1030.8772,171812.8594,0,0
44,RMCA,RMCA,LosAngeles_Small,stress_buildup,0,4,3600,228,118,0.5175,1.0,644.9492,644.9492,0.3549,4.4611,240.1376,381.7479,1082.7213,0.9018,23.5934,24,0.3746,4.0348,28,0.6983,127761.1172,0.3644,0.6895,741.5442,4.4443,40959,179.6447,29940.7891,0,0
44,RMCA,RMCA,LosAngeles_Small,stress_buildup,1,4,3600,192,119,0.6198,1.0,509.8235,0.0,0.2326,4.4741,251.0648,279.431,977.3636,0.7786,55.5921,24,0.3606,2.5207,22,0.5738,116306.2734,0.3361,0.6484,741.5442,4.4903,26689,139.0052,23167.5352,0,0
44,RMCA,RMCA,LosAngeles_Small,stress_shock,0,5,3600,159,110,0.6918,1.0,563.7182,563.7182,0.2998,4.1569,210.0222,333.9583,980.8967,0.9341,13.8429,24,0.488,1.9981,11,0.5324,107898.6406,0.3758,0.694,430.0,4.1914,28565,179.6541,29942.3477,0,0
