seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,actor_loss,critic_loss,entropy,adv_std,n_experiences,wallclock_ms
43,136,Tokyo_Medium,train,MAPPO,3600,12,97,21,0.2165,0.5773,0.4227,1302.6190,217.1032,0.5252,-0.0000,5.4484,0.5974,2.0051,73,109130
43,137,Tokyo_Large,train,MAPPO,3600,15,139,6,0.0432,0.4748,0.5252,1832.5000,229.0625,0.5637,-0.0000,67.0051,0.6104,5.7684,94,862366
43,138,Tokyo_Small,train,MAPPO,3600,8,146,33,0.2260,0.3836,0.6164,1320.3636,264.0727,0.7211,-0.0001,2.4257,0.5888,1.5177,72,44089
43,139,Tokyo_Medium,train,MAPPO,3600,12,102,21,0.2059,0.5588,0.4412,1336.8572,190.9796,0.6288,-0.0000,9.0349,0.5990,2.5429,90,82399
43,140,Tokyo_Large,train,MAPPO,3600,15,111,10,0.0901,0.6306,0.3694,1460.4000,182.5500,0.5829,-0.0000,61.9406,0.6107,5.6207,101,902138
43,141,Tokyo_Small,train,MAPPO,3600,8,127,29,0.2283,0.4094,0.5906,981.7586,196.3517,0.6250,-0.0001,1.9590,0.5845,1.3898,76,23906
43,142,Tokyo_Medium,train,MAPPO,3600,12,122,17,0.1393,0.4344,0.5656,1913.4706,239.1838,0.6939,-0.0000,27.3573,0.6012,4.2471,72,287280
43,143,Tokyo_Large,train,MAPPO,3600,15,111,7,0.0631,0.6036,0.3964,1813.1428,201.4603,0.6406,-0.0000,71.4333,0.6078,5.3243,95,551785
43,144,Tokyo_Small,train,MAPPO,3600,8,122,30,0.2459,0.4426,0.5574,1176.9000,235.3800,0.6639,-0.0000,2.3937,0.5868,1.4740,74,31607
43,145,Tokyo_Medium,train,MAPPO,3600,12,109,18,0.1651,0.4954,0.5046,1318.1111,188.3016,0.6097,-0.0000,12.1628,0.5963,2.8204,75,148383
43,146,Tokyo_Large,train,MAPPO,3600,15,110,11,0.1000,0.6455,0.3545,1893.9091,236.7386,0.5592,-0.0000,47.4839,0.6078,5.5423,94,567815
43,147,Tokyo_Small,train,MAPPO,3600,8,144,30,0.2083,0.3750,0.6250,780.1667,156.0333,0.6398,-0.0002,2.8192,0.5819,1.5828,74,32127
43,148,Tokyo_Medium,train,MAPPO,3600,12,106,17,0.1604,0.5000,0.5000,1584.4706,226.3529,0.6613,-0.0000,10.9563,0.5966,2.9763,68,75234
43,149,Tokyo_Large,train,MAPPO,3600,15,101,6,0.0594,0.6535,0.3465,1532.6666,191.5833,0.5887,-0.0000,71.6691,0.6111,5.7045,84,581919
43,150,Tokyo_Small,train,MAPPO,3600,8,150,29,0.1933,0.3467,0.6533,1433.0690,286.6138,0.7082,-0.0000,4.7300,0.5881,1.9722,75,49832
43,151,Tokyo_Medium,train,MAPPO,3600,12,114,15,0.1316,0.4298,0.5702,1576.2667,225.1810,0.6062,-0.0000,12.5289,0.5973,3.2663,65,205542
